Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
54,1385,1,True,False,True,۱ ساعت پیش در تهران، سهروردی,۴٬۶۸۰٬۰۰۰٬۰۰۰ تومان
170,1399,3,True,True,True,۱ ساعت پیش در تهران، شهرک راه‌آهن,۱۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان
80,1402,2,True,True,True,۱ ساعت پیش در تهران، شمس‌آباد، خیابان ولی زاده (خ. کرد),۷٬۷۶۰٬۰۰۰٬۰۰۰ تومان
83,1385,2,False,True,True,۱ ساعت پیش در تهران، قنات‌کوثر,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان
150,1402,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۲۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان
118,1399,2,True,True,True,۱ ساعت پیش در تهران، قیطریه,۱۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان
106,1402,2,True,True,True,۱ ساعت پیش در تهران، حسین‌آباد,۱۴٬۵۲۲٬۰۰۰٬۰۰۰ تومان
57,1394,1,True,True,True,"۱ ساعت پیش در تهران، بریانک,کارشناسی فنی، حقوقی و قیمتگذاری دقیق",۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان
70,1381,2,False,False,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان
210,1401,3,True,True,True,"۱ ساعت پیش در تهران، سعادت‌آباد,خونه معامله نکن تا کارشناسیش نکردی",۶۶٬۵۶۰٬۰۰۰٬۰۰۰ تومان
73,1399,2,True,True,True,۱ ساعت پیش در تهران، سازمان برنامه,۶٬۹۵۰٬۰۰۰٬۰۰۰ تومان
70,1393,2,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان
50,1394,1,False,False,False,۱ ساعت پیش در تهران، کاروان,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان
Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
100,1402,2,True,True,True,۱ ساعت پیش در تهران، وردآورد,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان
70,1401,2,True,True,True,۱ ساعت پیش در تهران، مبارک‌آباد بهشتی,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان
80,1402,2,True,True,True,۱ ساعت پیش در تهران، شمس‌آباد، خیابان ولی زاده (خ. کرد),۷٬۷۶۰٬۰۰۰٬۰۰۰ تومان
118,1399,2,True,True,True,۱ ساعت پیش در تهران، قیطریه,۱۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان
70,1381,2,False,False,True,۱ ساعت پیش در تهران، جنت‌آباد مرکزی,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان
50,1402,1,True,True,True,۲ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۱٬۲۲۰٬۰۰۰٬۰۰۰ تومان
140,1390,3,True,True,True,۲ ساعت پیش در تهران، سعادت‌آباد,۲۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
70,1393,2,True,True,True,۲ ساعت پیش در تهران، جنت‌آباد مرکزی,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان
Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
70,1402,2,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان
170,1399,3,True,True,True,۱ ساعت پیش در تهران، شهرک راه‌آهن,۱۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان
1600,1402,3,True,True,True,۱ ساعت پیش در تهران، اختیاریه,۳۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
105,1395,2,True,True,True,۱ ساعت پیش در تهران، پونک,۱۰٬۶۰۰٬۰۰۰٬۰۰۰ تومان
65,1389,2,True,True,True,۱ ساعت پیش در تهران، سازمان برنامه,۵٬۶۲۰٬۰۰۰٬۰۰۰ تومان
60,1393,1,True,False,True,۱ ساعت پیش در تهران، بریانک، خیابان ربیعی,۲٬۸۹۰٬۰۰۰٬۰۰۰ تومان
50,1402,1,True,True,True,۲ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۱٬۲۲۰٬۰۰۰٬۰۰۰ تومان
106,1402,2,True,True,True,۲ ساعت پیش در تهران، حسین‌آباد,۱۴٬۵۲۲٬۰۰۰٬۰۰۰ تومان
65,1395,1,True,True,True,"۲ ساعت پیش در تهران، اباذر,کارشناسی فنی، حقوقی و قیمتگذاری دقیق",۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان
50,1394,1,False,False,False,۲ ساعت پیش در تهران، کاروان,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان
140,1390,3,True,True,True,۲ ساعت پیش در تهران، سعادت‌آباد,۲۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
